I1,I2,I3,C1,C2,C3,M1,M2,M3,D,ID,respiration,aboveground,ace,phos,cello,gluco,belowground,WSA,PH,rack,Lv,remark
1,1,0,1,1,0,1,0,1,0,6,1960.211272,4.4,0.33736155,2.260322388,0.391157041,1.098852327,0.8,49.36708861,5.17,H,6,6
1,1,0,1,1,0,0,1,1,0,6,1250.030231,156.2,0.447687896,2.489181171,0.259859573,1.00820626,71.1,53.79537954,5.35,G,6,6
0,1,1,1,1,0,1,0,1,0,6,1559.051954,142.8,0.504218749,1.99043315,0.404833861,0.64932183,0.4,57.89473684,4.63,Y,6,6
1,1,0,1,0,1,1,1,0,0,6,1345.043327,1.9,0.325508307,2.845690268,0.155915744,1.4429374,12.5,60.63492063,5.08,N,6,6
1,1,0,0,1,1,0,1,1,0,6,1264.369458,44.9,0.458629352,2.398002374,0.494189082,1.500284912,1,65.48387097,5.78,H,6,6
1,0,1,1,0,1,0,1,1,0,6,2368.352842,5.1,0.27900712,1.769780459,0.258947785,1.470686196,3.2,74.52229299,5.09,Z,6,6
0,1,1,0,1,1,1,1,0,0,6,1186.938996,2.9,0.273536392,1.984050632,0.407569225,1.485485554,16.5,66.13924051,4.59,H,6,6
1,1,0,0,1,1,1,0,1,0,6,1440.626889,58.4,0.322772943,3.16481606,0.496012658,1.868418941,6.1,58.65384615,5.21,F,6,6
0,1,1,1,0,1,1,0,1,0,6,1828.533015,27.3,0.239800238,1.966726661,0.401186709,1.311593098,51.5,64.46540881,4.63,,6,6
0,1,1,1,0,1,1,1,0,0,6,1032.49807,107.8,0.379303798,1.291091772,0.323684731,1.026705457,9.6,81.06312292,4.44,G,6,6
0,1,1,1,1,0,0,1,1,0,6,780.6653142,39.2,0.279918907,2.661509098,0.415775316,1.779622793,67.3,64.44444444,4.5,Y,6,6
1,0,1,1,1,0,0,1,1,0,6,1174.368191,207.8,0.223388055,2.211997627,0.424893196,1.071103531,39.8,72.15189873,5.16,G,6,6
1,0,1,1,0,1,1,1,0,0,6,1431.359436,18.7,0.348303005,1.768868672,0.496924446,0.749217496,2.8,75.39936102,5.41,G,6,6
1,0,1,0,1,1,1,1,0,0,6,1190.982909,47.5,0.434011077,2.229321598,0.41851068,1.485485554,8.3,74.07407407,5.06,Z,6,6
1,1,0,1,0,1,1,0,1,0,6,1311.682845,19.8,0.372009494,1.831782042,0.486894778,1.017455859,3.6,46.37223975,5.2,F,6,6
1,0,1,1,1,0,1,1,0,1,6,1004.998092,99.7,0.831550633,3.38090981,0.384774525,0.850963082,44.8,27.12933754,4.87,A,6,6
1,0,1,0,1,1,0,1,1,1,6,986.8323006,33.8,0.394804192,3.570561708,0.516071994,1.933166132,10.8,31.96202532,5.22,Y,6,6
0,1,1,1,1,0,1,1,0,1,6,1148.447031,1.8,0.364715189,2.089818038,0.321861155,1.274594703,0.1,45.30744337,4.69,A,6,6
0,1,1,0,1,1,1,0,1,1,6,1001.733789,29.3,0.578985365,3.127432752,0.198769778,1.938715891,5.4,32.90734824,4.6,A,6,6
0,1,1,1,0,1,0,1,1,1,6,1045.40021,33.6,0.406657438,2.747217167,0.480512263,1.161749599,6.2,40.63492063,4.42,N,6,6
1,1,0,1,1,0,1,0,1,1,6,1262.122686,2.2,0.403010284,3.798508703,0.507865902,1.159899679,0.1,28.93081761,5.07,Y,6,6
1,1,0,1,1,0,0,1,1,1,6,1084.048309,2.5,0.381127373,2.264881329,0.35559731,1.577981541,0.5,37.82051282,5.08,Y,6,6
0,1,1,1,1,0,1,0,1,1,6,1157.848099,132.4,0.448599684,2.527476266,0.669252373,1.361540931,39.9,33.125,4.75,G,6,6
1,1,0,1,0,1,1,1,0,1,6,1045.218162,1.7,0.763166535,3.964454113,0.458629351,1.44108748,1,36.2804878,5.22,Y,6,6
